,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,SpreadBps,Illiquidity,ADV,Volume,Classifications
1634,ARKB,0.887989,-0.116361,35.53,2025-06-27,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,35.106,-3.6984,84.9,1568800,4-3
1635,ARKB,0.900771,0.041965,35.79,2025-06-30,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,38.467,-3.6913,78.86,1458200,4-3
1636,ARKB,0.934489,0.041965,35.02,2025-07-01,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,38.467,-3.6727,78.53,1946700,4-3
1637,ARKB,1.013404,-0.088135,36.49,2025-07-02,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,35.705,-3.6289,79.99,2313700,4-3
1638,ARKB,0.995465,-0.088135,36.33,2025-07-03,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,35.705,-3.6389,78.4,1335000,4-3
1639,ARKB,1.000956,-0.088135,35.92,2025-07-07,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,35.705,-3.6358,77.91,1296700,4-3
1640,ARKB,1.013848,-0.210246,36.175,2025-07-08,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,33.113,-3.6287,68.07,950900,4-3
1641,ARKB,1.053948,-0.35262,37.18,2025-07-09,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.09,-3.6065,66.35,1411700,4-2
1642,ARKB,1.023903,-0.35262,37.72,2025-07-10,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.09,-3.6231,64.92,2014400,4-2
1643,ARKB,1.062834,-0.35262,39.29,2025-07-11,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.09,-3.6015,66.95,2710900,4-2
1644,ARKB,1.078196,-0.73016,39.87,2025-07-14,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,22.074,-3.593,66.37,1978200,4-1
1645,ARKB,1.085043,-0.73016,38.7,2025-07-15,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,22.074,-3.5892,67.95,3485200,4-1
1646,ARKB,1.086205,-0.73016,39.65,2025-07-16,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,22.074,-3.5886,69.69,2739900,4-1
1647,ARKB,0.992085,-0.459913,39.56,2025-07-17,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,27.812,-3.6407,69.76,1321200,4-2
1648,ARKB,0.964635,-0.257427,39.02,2025-07-18,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,32.111,-3.656,68.54,2452600,4-2
1649,ARKB,0.95429,-0.259084,38.82,2025-07-21,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,32.076,-3.6617,68.96,1970300,4-2
1650,ARKB,0.986354,-0.433719,39.66,2025-07-22,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,28.368,-3.6439,69.58,1998700,4-2
